1,SMAN 1 BOJONGMANIK,20607981,1,JALAN RAYA BOJONGMANIK - CILAYANG KM.02,,,36,02,3602090,3602090010,85771007825,sman1bojongmanik@gmail.com,361
2,SMAN 1 CIBADAK,20607980,2,JL.MALABAR DS.PASAR KEONG,,,36,02,3602170,3602170007,83812659435,sman_cibadak@yahoo.com,361
3,SMAN 1 CIKULUR,20607982,3,JL. Raya Sampay - Cileles KM. 12,,,36,02,3602150,3602150002,81310292794,sman1cikulurlebakbanten@gmail.com,361
4,SMAN 1 CILELES,20607819,4,Jl. Raya Sampay-Gunungkencana Km.25,,,36,02,3602070,3602070010,81289978672,sman1cileles@yahoo.co.id,361
5,SMAN 1 CIMARGA,20601880,5,Jl. Raya Leuwidamar km 11 Ds Cimarga Kec Cimarga Kab. Lebak,,,36,02,3602140,3602140013,87771001006,sman1cimarga@live.com,361
6,SMAN 1 KALANGANYAR,69816901,6,Jl. K.H. Moch. Idrus Km.3,,,36,02,3602181,3602181002,8170905546,smansatukalanganyar@gmail.com,361
7,SMAN 1 LEUWIDAMAR,20601877,7,Jalan Raya Leuwidamar Km. 22,,,36,02,3602100,3602100008,252301220,smansalwd@yahoo.co.id,361
8,SMAN 1 WARUNGGUNUNG,20601873,8,Jl. Raya Pandeglang Km. 12,,,36,02,3602160,3602160005,85311850660,smansawarunggunung@gmail.com,361
9,SMAN 2 LEUWIDAMAR,60725227,9,: Jl. Cisimeut Km. 12 Kec. Leuwidamar,,,36,02,3602100,3602100004,82298713535,smandualwd@yahoo.co.id,361
10,SMAN 1 RANGKASBITUNG,20601874,10,Jl. RT. Hardiwinangun no 24,,,36,02,3602180,3602180009,0252-201647,smansa_rangkasbitung@ymail.com,361
11,SMAN 3 RANGKAS BITUNG,20601871,11,Jl. Letnan Muharam No. 5 Rangkasbitung,,,36,02,3602180,3602180021,0252 - 201230,smantigarks@yahoo.com,361
12,SMAN 1 CIPANAS,20601879,12,Jl. Raya Muncang No.44,,,36,02,3602120,3602120018,(0252)204455,sman1cipanas_lebak@yahoo.co.id,361
13,SMAN 1 CURUGBITUNG,20613913,13,Jl.Maja-Jasinga Km.15 Desa LebakAsih Curugbitung,,,36,02,3602191,3602191010,85714318209,smansabit@yahoo.com,361
14,SMAN 1 MAJA,20601876,14,Jl. Kebon Kalapa,,,36,02,3602190,3602190015,254201011,sman1maja.lebak@gmail.com,361
15,SMAN 1 MUNCANG,20607862,15,Jl.Raya Muncang - Cipanas Km O2,,,36,02,3602110,3602110016,-,smansam_m@yahoo.co.id,361
16,SMAN 1 SAJIRA,20613868,16,Jl. Raya Cipanas Km.17 Karoya Kec. Sajira Kab. Lebak 42317,,,36,02,3602130,3602130006,85881976665,Adammaulana60@gmail.com,361
17,SMAN 1 SOBANG,20614150,17,Kp. Pasir Eurih,,,36,02,3602111,3602111006,85894337711,sman1sobang@gmail.com,361
18,SMAN 2 CIBEBER,20616229,18,Kp.Sukamaju,,,36,02,3602040,3602040023,85714521836,sman2.cibeber@gmail.com,361
19,SMAN 2 MAJA,20623417,19,JL. KOPI-MAJA KM. 07 KP. JATI RT. 004 / RW. 003,,,36,02,3602190,3602190018,87773163993,smanegeri2maja@gmail.com,361
20,SMAN 2 RANGKASBITUNG,20601872,20,Jl. Siliwangi Pasir Ona Rangkasbitung,,,36,02,3602180,3602180008,252,sman2rks@yahoo.co.id,361
